1:65000-70000	OR4F5
1:10980000-10985000	C1orf127
1:11010000-11015000	TARDBP
1:11045000-11050000	MASP2
1:11060000-11065000	SRM
1:11095000-11100000	EXOSC10
1:11185000-11190000	ANGPTL7
1:11260000-11265000	MTOR
1:11270000-11275000	UBIAD1
1:11475000-11480000	DISP3
1:11650000-11655000	FBXO44
1:11655000-11660000	FBXO2
1:11660000-11665000	FBXO6
1:11690000-11695000	MAD2L2
1:11690000-11695000	DRAXIN
1:11735000-11740000	AGTRAP
1:11760000-11765000	C1orf167
1:11805000-11810000	MTHFR
1:11805000-11810000	CLCN6
1:11845000-11850000	NPPA
1:11855000-11860000	NPPB
1:11925000-11930000	KIAA2013
1:11930000-11935000	PLOD1
1:11980000-11985000	MFN2
1:12015000-12020000	MIIP
1:12060000-12065000	TNFRSF8
1:12165000-12170000	TNFRSF1B
1:12230000-12235000	VPS13D
1:12615000-12620000	DHRS3
1:12640000-12645000	AADACL4
1:12715000-12720000	AADACL3
1:12745000-12750000	C1orf158
1:12770000-12775000	PRAMEF12
1:12790000-12795000	PRAMEF1
1:12830000-12835000	PRAMEF11
1:12845000-12850000	HNRNPCL1
1:12855000-12860000	PRAMEF2
1:12885000-12890000	PRAMEF4
1:12895000-12900000	PRAMEF10
1:12915000-12920000	PRAMEF7
1:12945000-12950000	PRAMEF6
1:13055000-13060000	PRAMEF27
1:13060000-13065000	HNRNPCL3
1:13065000-13070000	PRAMEF25
1:13115000-13120000	HNRNPCL2
1:13155000-13160000	PRAMEF26
1:13165000-13170000	HNRNPCL4
1:13170000-13175000	PRAMEF9
1:13200000-13205000	PRAMEF13
1:13225000-13230000	PRAMEF18
1:13250000-13255000	PRAMEF5
1:13285000-13290000	PRAMEF8
1:13300000-13305000	PRAMEF33
1:13315000-13320000	PRAMEF15
1:13345000-13350000	PRAMEF14
1:13370000-13375000	PRAMEF19
1:13385000-13390000	PRAMEF17
1:13415000-13420000	PRAMEF20
1:13510000-13515000	LRRC38
1:13580000-13585000	PDPN
1:13700000-13705000	PRDM2
1:13890000-13895000	KAZN
1:15150000-15155000	TMEM51
1:15235000-15240000	FHAD1
1:15405000-15410000	EFHD2
1:15435000-15440000	CTRC
1:15455000-15460000	CELA2A
1:15465000-15470000	CELA2B
1:15525000-15530000	CASP9
1:15525000-15530000	DNAJC16
1:15585000-15590000	AGMAT
1:15615000-15620000	DDI2
1:15655000-15660000	RSC1A1
1:15680000-15685000	PLEKHM2
1:15735000-15740000	SLC25A34
1:15740000-15745000	TMEM82
1:15755000-15760000	FBLIM1
1:15805000-15810000	UQCRHL
1:15835000-15840000	SPEN
1:15975000-15980000	ZBTB17
1:16000000-16005000	SRARP
1:16015000-16020000	HSPB7
1:16015000-16020000	CLCNKA
1:16040000-16045000	CLCNKB
1:16070000-16075000	FAM131C
1:16155000-16160000	EPHA2
1:16210000-16215000	ARHGEF19
1:16235000-16240000	CPLANE2
1:16350000-16355000	FBXO42
1:16350000-16355000	SZRD1
1:16435000-16440000	SPATA21
1:16440000-16445000	NECAP2
1:16610000-16615000	NBPF1
1:16740000-16745000	CROCC
1:16980000-16985000	MFAP2
1:17010000-17015000	ATP13A2
1:17010000-17015000	RP1-37C10.8
1:17050000-17055000	SDHB
1:17115000-17120000	PADI2
1:17205000-17210000	PADI1
1:17245000-17250000	PADI3
1:17305000-17310000	PADI4
1:17370000-17375000	PADI6
1:17435000-17440000	RCC2
1:17535000-17540000	ARHGEF10L
1:17755000-17760000	ACTL8
1:18105000-18110000	IGSF21
1:18480000-18485000	KLHDC7A
1:18630000-18635000	PAX7
1:18855000-18860000	TAS1R2
1:18900000-18905000	ALDH4A1
1:18955000-18960000	IFFO2
1:19210000-19215000	UBR4
1:19250000-19255000	EMC1
1:19250000-19255000	MRTO4
1:19285000-19290000	AKR7A3
1:19310000-19315000	AKR7A2
1:19310000-19315000	SLC66A1
1:19480000-19485000	MICOS10
1:19485000-19490000	CAPZB
1:19595000-19600000	NBL1
1:19595000-19600000	MICOS10-NBL1
1:19660000-19665000	HTR6
1:19795000-19800000	TMCO4
1:19815000-19820000	RNF186
1:19880000-19885000	OTUD3
1:19920000-19925000	PLA2G2E
1:19980000-19985000	PLA2G2A
1:20025000-20030000	PLA2G5
1:20115000-20120000	PLA2G2D
1:20135000-20140000	PLA2G2F
1:20185000-20190000	PLA2G2C
1:20185000-20190000	UBXN10
1:20290000-20295000	VWA5B1
1:20485000-20490000	CAMK2N1
1:20505000-20510000	MUL1
1:20550000-20555000	FAM43B
1:20585000-20590000	CDA
1:20630000-20635000	PINK1
1:20660000-20665000	DDOST
1:20715000-20720000	KIF17
1:20730000-20735000	SH2D5
1:20785000-20790000	HP1BP3
1:21175000-21180000	EIF4G3
1:21345000-21350000	ECE1
1:21440000-21445000	NBPF3
1:21505000-21510000	ALPL
1:21665000-21670000	RAP1GAP
1:21780000-21785000	USP48
1:21810000-21815000	LDLRAD2
1:21935000-21940000	HSPG2
1:21975000-21980000	CELA3B
1:22000000-22005000	CELA3A
1:22025000-22030000	CDC42
1:22140000-22145000	WNT4
1:22425000-22430000	ZBTB40
1:22560000-22565000	EPHA8
1:22635000-22640000	C1QA
1:22640000-22645000	C1QC
1:22650000-22655000	C1QB
1:22710000-22715000	EPHB2
1:22965000-22970000	LACTBL1
1:23015000-23020000	TEX46
1:23015000-23020000	KDM1A
1:23175000-23180000	LUZP1
1:23215000-23220000	HTR1D
1:23340000-23345000	HNRNPR
1:23365000-23370000	ZNF436
1:23420000-23425000	TCEA3
1:23480000-23485000	ASAP3
1:23530000-23535000	E2F2
1:23555000-23560000	ID3
1:23690000-23695000	RPL11
1:23740000-23745000	ELOA
1:23775000-23780000	PITHD1
1:23790000-23795000	LYPLA2
1:23800000-23805000	GALE
1:23835000-23840000	HMGCL
1:23865000-23870000	FUCA1
1:23910000-23915000	CNR2
1:23955000-23960000	PNRC2
1:23980000-23985000	SRSF10
1:24110000-24115000	MYOM3
1:24140000-24145000	IL22RA1
1:24185000-24190000	IFNLR1
1:24315000-24320000	GRHL3
1:24415000-24420000	STPG1
1:24415000-24420000	NIPAL3
1:24500000-24505000	RCAN3
1:24555000-24560000	NCMAP
1:24630000-24635000	SRRM1
1:24745000-24750000	CLIC4
1:24965000-24970000	RUNX3
1:25230000-25235000	SYF2
1:25270000-25275000	RHD
1:25335000-25340000	RSRP1
1:25335000-25340000	TMEM50A
1:25430000-25435000	RHCE
1:25430000-25435000	MACO1
1:25540000-25545000	LDLRAP1
1:25615000-25620000	MAN1C1
1:25800000-25805000	SELENON
1:25810000-25815000	RP1-317E23.6
1:25815000-25820000	MTFR1L
1:25855000-25860000	AUNIP
1:25875000-25880000	PAQR7
1:25905000-25910000	STMN1
1:25995000-26000000	PAFAH2
1:26015000-26020000	EXTL1
1:26045000-26050000	SLC30A2
1:26065000-26070000	TRIM63
1:26110000-26115000	PDIK1L
1:26155000-26160000	FAM110D
1:26165000-26170000	C1orf232
1:26165000-26170000	ZNF593
1:26170000-26175000	ZNF593OS
1:26175000-26180000	CNKSR1
1:26190000-26195000	CATSPER4
1:26230000-26235000	CEP85
1:26280000-26285000	SH3BGRL3
1:26315000-26320000	UBXN11
1:26315000-26320000	CD52
1:26360000-26365000	CRYBG2
1:26370000-26375000	ZNF683
1:26410000-26415000	LIN28A
1:26430000-26435000	DHDDS
1:26470000-26475000	HMGN2
1:26525000-26530000	RPS6KA1
1:26690000-26695000	ARID1A
1:26785000-26790000	PIGV
1:26825000-26830000	ZDHHC18
1:26860000-26865000	SFN
1:26890000-26895000	GPN2
1:26900000-26905000	GPATCH3
1:26900000-26905000	NUDC
1:26910000-26915000	NR0B2
1:26960000-26965000	KDF1
1:26990000-26995000	TRNP1
1:27010000-27015000	TENT5B
1:27165000-27170000	SLC9A1
1:27230000-27235000	WDTC1
1:27320000-27325000	TMEM222
1:27340000-27345000	SYTL1
1:27365000-27370000	MAP3K6
1:27370000-27375000	FCN3
1:27380000-27385000	CD164L2
1:27390000-27395000	GPR3
1:27490000-27495000	WASF2
1:27600000-27605000	AHDC1
1:27635000-27640000	FGR
1:27670000-27675000	IFI6
1:27725000-27730000	FAM76A
1:27770000-27775000	STX12
1:27830000-27835000	PPP1R8
1:27870000-27875000	THEMIS2
1:27910000-27915000	RPA2
1:27935000-27940000	SMPDL3B
1:27955000-27960000	XKR8
1:28085000-28090000	EYA3
1:28190000-28195000	PTAFR
1:28230000-28235000	DNAJC8
1:28235000-28240000	ATP5IF1
1:28255000-28260000	SESN2
1:28325000-28330000	MED18
1:28365000-28370000	PHACTR4
1:28505000-28510000	RCC1
1:28550000-28555000	TRNAU1AP
1:28590000-28595000	RAB42
1:28640000-28645000	TAF12
1:28665000-28670000	GMEB1
1:28735000-28740000	YTHDF2
1:28810000-28815000	OPRD1
1:28885000-28890000	EPB41
1:29120000-29125000	TMEM200B
1:29180000-29185000	SRSF4
1:29230000-29235000	MECR
1:29235000-29240000	PTPRU
1:30720000-30725000	MATN1
1:30755000-30760000	LAPTM5
1:30905000-30910000	SDC3
1:31065000-31070000	PUM1
1:31235000-31240000	NKAIN1
1:31295000-31300000	SNRNP40
1:31295000-31300000	ZCCHC17
1:31375000-31380000	FABP3
1:31405000-31410000	SERINC2
1:31575000-31580000	TINAGL1
1:31615000-31620000	HCRTR1
1:31640000-31645000	PEF1
1:31700000-31705000	COL16A1
1:31760000-31765000	ADGRB2
1:31815000-31820000	SPOCD1
1:31915000-31920000	RP4-534N18.5
1:31940000-31945000	PTP4A2
1:32010000-32015000	KHDRBS1
1:32070000-32075000	TMEM39B
1:32105000-32110000	KPNA6
1:32175000-32180000	TXLNA
1:32200000-32205000	CCDC28B
1:32205000-32210000	IQCC
1:32205000-32210000	DCDC2B
1:32220000-32225000	TMEM234
1:32220000-32225000	EIF3I
1:32245000-32250000	FAM167B
1:32250000-32255000	LCK
1:32290000-32295000	HDAC1
1:32335000-32340000	MARCKSL1
1:32350000-32355000	TSSK3
1:32360000-32365000	FAM229A
1:32390000-32395000	BSDC1
1:32465000-32470000	RP1-27O5.3
1:32465000-32470000	ZBTB8B
1:32535000-32540000	ZBTB8A
1:32650000-32655000	ZBTB8OS
1:32650000-32655000	RBBP4
1:32700000-32705000	SYNC
1:32740000-32745000	KIAA1522
1:32815000-32820000	S100PBP
1:32815000-32820000	YARS1
1:32870000-32875000	FNDC5
1:32885000-32890000	HPCA
1:32900000-32905000	TMEM54
1:32960000-32965000	RNF19B
1:33080000-33085000	AK2
1:33080000-33085000	AZIN2
1:33180000-33185000	TRIM62
1:33255000-33260000	ZNF362
1:33320000-33325000	A3GALT2
1:33430000-33435000	PHC2
1:33470000-33475000	ZSCAN20
1:33860000-33865000	HMGB4
1:34165000-34170000	CSMD2
1:34165000-34170000	C1orf94
1:34755000-34760000	GJB5
1:34755000-34760000	GJB4
1:34780000-34785000	GJB3
1:34790000-34795000	GJA4
1:34855000-34860000	SMIM12
1:34925000-34930000	DLGAP3
1:34985000-34990000	RP11-244H3.5
1:34985000-34990000	TMEM35B
1:35030000-35035000	RP11-244H3.4
1:35030000-35035000	ZMYM6
1:35030000-35035000	ZMYM1
1:35190000-35195000	SFPQ
1:35265000-35270000	ZMYM4
1:35555000-35560000	KIAA0319L
1:35555000-35560000	NCDN
1:35570000-35575000	TFAP2E
1:35640000-35645000	PSMB2
1:35715000-35720000	C1orf216
1:35765000-35770000	CLSPN
1:35805000-35810000	AGO4
1:35865000-35870000	AGO1
1:35930000-35935000	AGO3
1:36080000-36085000	TEKT2
1:36085000-36090000	ADPRS
1:36125000-36130000	COL8A2
1:36155000-36160000	TRAPPC3
1:36155000-36160000	MAP7D1
1:36220000-36225000	THRAP3
1:36305000-36310000	SH3D21
1:36320000-36325000	EVA1B
1:36385000-36390000	STK40
1:36395000-36400000	LSM10
1:36450000-36455000	OSCP1
1:36460000-36465000	MRPS15
1:36480000-36485000	CSF3R
1:37030000-37035000	GRIK3
1:37470000-37475000	ZC3H12A
1:37510000-37515000	MEAF6
1:37550000-37555000	SNIP1
1:37555000-37560000	DNALI1
1:37595000-37600000	GNL2
1:37630000-37635000	RSPO1
1:37690000-37695000	C1orf109
1:37690000-37695000	CDCA8
1:37765000-37770000	EPHA10
1:37790000-37795000	MANEAL
1:37805000-37810000	YRDC
1:37805000-37810000	C1orf122
1:37855000-37860000	MTF1
1:37945000-37950000	INPP5B
1:37990000-37995000	SF3A3
1:38005000-38010000	FHL3
1:38005000-38010000	UTP11
1:38045000-38050000	POU3F1
1:38855000-38860000	RRAGC
1:38870000-38875000	MYCBP
1:38880000-38885000	RP5-864K19.6
1:38880000-38885000	GJA9
1:38940000-38945000	RHBDL2
1:38990000-38995000	AKIRIN1
1:39025000-39030000	NDUFS5
1:39080000-39085000	MACF1
1:39490000-39495000	BMP8A
1:39575000-39580000	PABPC4
1:39635000-39640000	HEYL
1:39670000-39675000	NT5C1A
1:39690000-39695000	HPCAL4
1:39690000-39695000	PPIE
1:39770000-39775000	OXCT2
1:39785000-39790000	BMP8B
1:39880000-39885000	TRIT1
1:39900000-39905000	MYCL
1:39955000-39960000	MFSD2A
1:40040000-40045000	CAP1
1:40095000-40100000	PPT1
1:40160000-40165000	RLF
1:40245000-40250000	TMCO2
1:40255000-40260000	ZMPSTE24
1:40315000-40320000	COL9A2
1:40340000-40345000	SMAP2
1:40450000-40455000	ZFP69B
1:40475000-40480000	ZFP69
1:40505000-40510000	EXO5
1:40530000-40535000	ZNF684
1:40665000-40670000	RIMS3
1:40690000-40695000	NFYC
1:40780000-40785000	KCNQ4
1:40860000-40865000	CITED4
1:40975000-40980000	CTPS1
1:41020000-41025000	SLFNL1
1:41240000-41245000	SCMH1
1:41360000-41365000	FOXO6
1:41480000-41485000	EDN2
1:41625000-41630000	RP11-486B10.5
1:42035000-42040000	HIVEP3
1:42150000-42155000	GUCA2B
1:42160000-42165000	GUCA2A
1:42335000-42340000	FOXJ3
1:42380000-42385000	RIMKLA
1:42455000-42460000	ZMYND12
1:42455000-42460000	PPCS
1:42460000-42465000	CCDC30
1:42655000-42660000	PPIH
1:42680000-42685000	YBX1
1:42740000-42745000	CLDN19
1:42765000-42770000	P3H1
1:42765000-42770000	C1orf50
1:42765000-42770000	RP5-994D16.12
1:42785000-42790000	TMEM269
1:42815000-42820000	SVBP
1:42815000-42820000	ERMAP
1:42845000-42850000	ZNF691
1:42955000-42960000	SLC2A1
1:43145000-43150000	FAM183A
1:43170000-43175000	CFAP57
1:43265000-43270000	TMEM125
1:43270000-43275000	EBNA1BP2
1:43285000-43290000	C1orf210
1:43300000-43305000	TIE1
1:43335000-43340000	MPL
1:43355000-43360000	CDC20
1:43365000-43370000	ELOVL1
1:43385000-43390000	MED8
1:43385000-43390000	SZT2
1:43450000-43455000	HYI
1:43525000-43530000	PTPRF
1:43650000-43655000	KDM4A
1:43650000-43655000	RP11-7O11.7
1:43705000-43710000	ST3GAL3
1:43930000-43935000	ARTN
1:43945000-43950000	IPO13
1:43970000-43975000	DPH2
1:43970000-43975000	ATP6V0B
1:43975000-43980000	B4GALT2
1:43990000-43995000	CCDC24
1:44030000-44035000	SLC6A9
1:44115000-44120000	KLF17
1:44140000-44145000	KLF18
1:44210000-44215000	DMAP1
1:44355000-44360000	ERI3
1:44405000-44410000	RNF220
1:44670000-44675000	TMEM53
1:44670000-44675000	ARMH1
1:44735000-44740000	KIF2C
1:44775000-44780000	RPS8
1:44785000-44790000	BEST4
1:44800000-44805000	PLK3
1:44805000-44810000	DYNLT4
1:44805000-44810000	BTBD19
1:44840000-44845000	PTCH2
1:44985000-44990000	EIF2B3
1:45010000-45015000	HECTD3
1:45010000-45015000	UROD
1:45305000-45310000	ZSWIM5
1:45325000-45330000	HPDL
1:45340000-45345000	MUTYH
1:45340000-45345000	TOE1
1:45490000-45495000	RP4-534D1.6
1:45490000-45495000	TESK2
1:45500000-45505000	CCDC163
1:45500000-45505000	MMACHC
1:45540000-45545000	PRDX1
1:45550000-45555000	AKR1A1
1:45580000-45585000	NASP
1:45620000-45625000	CCDC17
1:45685000-45690000	GPBP1L1
1:45685000-45690000	TMEM69
1:45750000-45755000	IPP
1:45785000-45790000	MAST2
1:46130000-46135000	PIK3R3
1:46175000-46180000	P3R3URF-PIK3R3
1:46175000-46180000	TSPAN1
1:46175000-46180000	P3R3URF
1:46200000-46205000	LURAP1
1:46220000-46225000	POMGNT1
1:46245000-46250000	RAD54L
1:46300000-46305000	LRRC41
1:46300000-46305000	UQCRH
1:46340000-46345000	NSUN4
1:46390000-46395000	FAAH
1:46485000-46490000	DMBX1
1:46540000-46545000	TMEM275
1:46550000-46555000	KNCN
1:46615000-46620000	MKNK1
1:46615000-46620000	MOB3C
1:46665000-46670000	TEX38
1:46670000-46675000	ATPAF1
1:46715000-46720000	EFCAB14
1:46755000-46760000	CYP4B1
1:46940000-46945000	CYP4A11
1:47020000-47025000	CYP4X1
1:47065000-47070000	CYP4Z1
1:47135000-47140000	CYP4A22
1:47190000-47195000	PDZK1IP1
1:47230000-47235000	TAL1
1:47310000-47315000	STIL
1:47330000-47335000	CMPK1
1:47415000-47420000	FOXE3
1:47435000-47440000	FOXD2
1:47995000-48000000	TRABD2B
1:48220000-48225000	SLC5A9
1:48470000-48475000	SPATA6
1:48775000-48780000	BEND5
1:50020000-50025000	AGBL4
1:50020000-50025000	ELAVL4
1:50420000-50425000	DMRTA2
1:50960000-50965000	FAF1
1:50960000-50965000	CDKN2C
1:51100000-51105000	C1orf185
1:51235000-51240000	RNF11
1:51345000-51350000	TTC39A
1:51515000-51520000	EPS15
1:51575000-51580000	OSBPL9
1:51875000-51880000	NRDC
1:51990000-51995000	RAB3B
1:52030000-52035000	RP11-91A18.6
1:52030000-52035000	KTI12
1:52055000-52060000	TXNDC12
1:52055000-52060000	BTF3L4
1:52140000-52145000	ZFYVE9
1:52365000-52370000	CC2D1B
1:52400000-52405000	ORC1
1:52400000-52405000	PRPF38A
1:52550000-52555000	TUT4
1:52600000-52605000	GPX7
1:52630000-52635000	SHISAL2A
1:52695000-52700000	COA7
1:52725000-52730000	ZYG11B
1:52840000-52845000	ZYG11A
1:52925000-52930000	ECHDC2
1:52925000-52930000	SCP2
1:53060000-53065000	PODN
1:53140000-53145000	SLC1A7
1:53195000-53200000	CPT2
1:53220000-53225000	CZIB
1:53235000-53240000	MAGOH
1:53325000-53330000	LRP8
1:53455000-53460000	DMRTB1
1:53735000-53740000	GLIS1
1:53835000-53840000	NDC1
1:53885000-53890000	YIPF1
1:53890000-53895000	DIO1
1:53945000-53950000	HSPB11
1:53945000-53950000	LRRC42
1:54015000-54020000	LDLRAD1
1:54050000-54055000	TMEM59
1:54050000-54055000	TCEANC2
1:54150000-54155000	CDCP2
1:54180000-54185000	MRPL37
1:54200000-54205000	RP11-446E24.4
1:54200000-54205000	CYB5RL
1:54410000-54415000	SSBP3
1:54540000-54545000	ACOT11
1:54620000-54625000	FAM151A
1:54640000-54645000	MROH7
1:54640000-54645000	MROH7-TTC4
1:54715000-54720000	TTC4
1:54760000-54765000	PARS2
1:54800000-54805000	TTC22
1:54805000-54810000	LEXM
1:54885000-54890000	DHCR24
1:54980000-54985000	TMEM61
1:54995000-55000000	BSND
1:55035000-55040000	PCSK9
1:55215000-55220000	USP24
1:56520000-56525000	RP1-158P9.3
1:56645000-56650000	PLPP3
1:56645000-56650000	PRKAA2
1:56815000-56820000	FYB2
1:56850000-56855000	C8A
1:56965000-56970000	C8B
1:58545000-58550000	DAB1
1:58545000-58550000	OMA1
1:58575000-58580000	TACSTD2
1:58700000-58705000	MYSM1
1:58780000-58785000	JUN
1:59295000-59300000	FGGY
1:59810000-59815000	HOOK1
1:59925000-59930000	CYP2J2
1:60070000-60075000	C1orf87
1:60865000-60870000	NFIA
1:61725000-61730000	TM2D1
1:61740000-61745000	PATJ
1:62190000-62195000	L1TD1
1:62315000-62320000	KANK4
1:62435000-62440000	USP1
1:62595000-62600000	ANGPTL3
1:62685000-62690000	DOCK7
1:62780000-62785000	ATG4C
1:63320000-63325000	FOXD3
1:63365000-63370000	ALG6
1:63520000-63525000	EFCAB7
1:63590000-63595000	ITGB3BP
1:63590000-63595000	PGM1
1:63770000-63775000	ROR1
1:64200000-64205000	UBE2U
1:64470000-64475000	CACHD1
1:64745000-64750000	RAVER2
1:65065000-65070000	JAK1
1:65145000-65150000	AK4
1:65245000-65250000	DNAJC6
1:65420000-65425000	LEPROT
1:65420000-65425000	LEPR
1:65790000-65795000	PDE4B
1:66530000-66535000	SGIP1
1:66750000-66755000	DYNLT5
1:66800000-66805000	INSL5
1:66920000-66925000	DNAI4
1:66920000-66925000	MIER1
1:67050000-67055000	SLC35D1
1:67135000-67140000	IL23R
1:67230000-67235000	C1orf141
1:67305000-67310000	IL12RB2
1:67430000-67435000	SERBP1
1:67685000-67690000	GADD45A
1:67830000-67835000	GNG12
1:68050000-68055000	DIRAS3
1:68230000-68235000	WLS
1:68445000-68450000	RPE65
1:68495000-68500000	DEPDC1
1:69565000-69570000	LRRC7
1:70205000-70210000	LRRC40
1:70205000-70210000	SRSF11
1:70350000-70355000	ANKRD13C
1:70410000-70415000	CTH
1:71045000-71050000	PTGER3
1:71080000-71085000	ZRANB2
1:72280000-72285000	NEGR1
1:74195000-74200000	LRRIQ3
1:74195000-74200000	FPGT-TNNI3K
1:74195000-74200000	FPGT
1:74235000-74240000	TNNI3K
1:74510000-74515000	LRRC53
1:74670000-74675000	ERICH3
1:74730000-74735000	CRYZ
1:74730000-74735000	TYW3
1:75125000-75130000	LHX8
1:75610000-75615000	SLC44A5
1:75720000-75725000	ACADM
1:75785000-75790000	RABGGTB
1:75795000-75800000	MSH4
1:75930000-75935000	ASB17
1:76070000-76075000	ST6GALNAC3
1:76865000-76870000	ST6GALNAC5
1:77215000-77220000	PIGK
1:77280000-77285000	AK5
1:77680000-77685000	ZZZ3
1:77755000-77760000	USP33
1:77775000-77780000	MIGA1
1:77885000-77890000	NEXN
1:77975000-77980000	FUBP1
1:77975000-77980000	DNAJB4
1:77975000-77980000	GIPC2
1:78300000-78305000	PTGFR
1:78615000-78620000	IFI44L
1:78645000-78650000	IFI44
1:79280000-79285000	ADGRL4
1:81305000-81310000	ADGRL2
1:83995000-84000000	TTLL7
1:84075000-84080000	PRKACB
1:84295000-84300000	SAMD13
1:84395000-84400000	DNASE2B
1:84475000-84480000	RPF1
1:84505000-84510000	GNG5
1:84505000-84510000	SPATA1
1:84570000-84575000	CTBS
1:84690000-84695000	SSX2IP
1:84890000-84895000	LPAR3
1:84995000-85000000	MCOLN2
1:84995000-85000000	DNAI3
1:85045000-85050000	MCOLN3
1:85200000-85205000	SYDE2
1:85255000-85260000	C1orf52
1:85275000-85280000	BCL10
1:85575000-85580000	DDAH1
1:85580000-85585000	CCN1
1:85705000-85710000	ZNHIT6
1:86155000-86160000	COL24A1
1:86395000-86400000	ODF2L
1:86420000-86425000	CLCA2
1:86465000-86470000	CLCA1
1:86545000-86550000	CLCA4
1:86700000-86705000	SH3GLB1
1:86910000-86915000	SELENOF
1:86910000-86915000	HS2ST1
1:86990000-86995000	RP5-1052I5.2
1:87325000-87330000	LMO4
1:88680000-88685000	PKN2
1:88890000-88895000	GTF2B
1:88990000-88995000	KYAT3
1:88990000-88995000	RBMXL1
1:89020000-89025000	GBP3
1:89065000-89070000	GBP1
1:89150000-89155000	GBP2
1:89175000-89180000	GBP7
1:89195000-89200000	GBP4
1:89270000-89275000	GBP5
1:89360000-89365000	GBP6
1:89520000-89525000	LRRC8B
1:89575000-89580000	RP5-1007M22.3
1:89630000-89635000	LRRC8C
1:89630000-89635000	RP11-302M6.4
